"new.article.id","year","journal","pmid","author","title","abstract","url"
"X466","%D 2021","%B Am J Public Health","%M 34623878","%A Bossarte, R. M.","%T Mental Disorders, Gun Ownership, and Gun Carrying Among Soldiers After Leaving the Army, 2016-2019","%X To examine associations of current mental and substance use disorders with self-reported gun ownership and carrying among recently separated US Army soldiers. Veterans have high rates of both gun ownership and mental disorders, the conjunction of which might contribute to the high suicide rate in this group.","%U https://www.ncbi.nlm.nih.gov/pubmed/34623878"
"X518","%D 2016","%B Depress Anxiety","%M 26636426","%A Bryan, C. J.","%T EVALUATING POTENTIAL IATROGENIC SUICIDE RISK IN TRAUMA-FOCUSED GROUP COGNITIVE BEHAVIORAL THERAPY FOR THE TREATMENT OF PTSD IN ACTIVE DUTY MILITARY PERSONNEL","%X To determine whether group cognitive processing therapy-cognitive only version (CPT-C) is associated with iatrogenic suicide risk in a sample of active duty US Army personnel diagnosed with posttraumatic stress disorder (PTSD). Possible iatrogenic effects considered include the incidence and severity of suicide ideation, worsening of preexisting suicide ideation, incidence of new-onset suicide ideation, and incidence of suicide attempts among soldiers receiving group CPT-C. Comparison with group present-centered therapy (PCT) was made to contextualize findings.|One hundredÂ eight soldiers (100 men, eight women) diagnosed with PTSD were randomized to receive either group CPT-C or group PCT. PTSD diagnosis was confirmed via structured clinician interview. Suicide ideation, depression severity, and PTSD severity were assessed at pretreatment, weekly during treatment, and 2 weeks, 6 months, and 12 months posttreatment.|Rates of suicide ideation significantly decreased across both treatments. Among soldiers with pretreatment suicide ideation, severity of suicide ideation significantly decreased across both treatments and was maintained for up to 12 months posttreatment. Exacerbation of preexisting suicide ideation was uncommon in both treatments. New-onset suicide ideation was rare and similar across both treatments (<16%). There were no suicide attempts during treatment or follow-up in either group. Change in depression symptoms predicted change in suicide risk.|Suicide-related outcomes were similar across both treatments and primarily associated with comorbid depression. Suicide-related outcomes in group CPT-C were rare and comparable to patterns observed in an active, nontrauma-focused therapy, even among soldiers who entered treatment with suicide ideation.|NCT01286415, https://clinicaltrials.gov/ct2/show/NCT01286415.","%U https://www.ncbi.nlm.nih.gov/pubmed/26636426"
"X569","%D 2014","%B J Affect Disord","%M 24679384","%A Bryan, C. J.","%T Improving the detection and prediction of suicidal behavior among military personnel by measuring suicidal beliefs: an evaluation of the Suicide Cognitions Scale","%X Newer approaches for understanding suicidal behavior suggest the assessment of suicide-specific beliefs and cognitions may improve the detection and prediction of suicidal thoughts and behaviors. The Suicide Cognitions Scale (SCS) was developed to measure suicide-specific beliefs, but it has not been tested in a military setting.|Data were analyzed from two separate studies conducted at three military mental health clinics (one U.S. Army, two U.S. Air Force). Participants included 175 active duty Army personnel with acute suicidal ideation and/or a recent suicide attempt referred for a treatment study (Sample 1) and 151 active duty Air Force personnel receiving routine outpatient mental health care (Sample 2). In both samples, participants completed self-report measures and clinician-administered interviews. Follow-up suicide attempts were assessed via clinician-administered interview for Sample 1. Statistical analyses included confirmatory factor analysis, between-group comparisons by history of suicidality, and generalized regression modeling.|Two latent factors were confirmed for the SCS: Unloveability and Unbearability. Each demonstrated good internal consistency, convergent validity, and divergent validity. Both scales significantly predicted current suicidal ideation (Î_s >0.316, ps <0.002) and significantly differentiated suicide attempts from nonsuicidal self-injury and control groups (F(6, 286)=9.801, p<0.001). Both scales significantly predicted future suicide attempts (AORs>1.07, ps <0.050) better than other risk factors.|Self-report methodology, small sample sizes, predominantly male samples.|The SCS is a reliable and valid measure that predicts suicidal ideation and suicide attempts among military personnel better than other well-established risk factors.","%U https://www.ncbi.nlm.nih.gov/pubmed/24679384"
"X683","%D 2016","%B Gen Hosp Psychiatry","%M 27302719","%A Bryan, C. J.","%T From impulse to action among military personnel hospitalized for suicide risk: alcohol consumption and the reported transition from suicidal thought to behavior","%X Alcohol use is associated with unplanned or impulsive suicide attempts. Although unplanned suicide attempts assume a rapid transition for suicidal impulse to action, many studies do not quantify the time elapsed from suicidal impulse to action. The current study was designed to clarify how alcohol use facilitates the transition from suicidal impulse to action among U.S. Army personnel. We hypothesized that alcohol consumption during the 24 h preceding a suicide attempt would be associated with significantly faster transition from suicidal impulse to action but would be unrelated to medical lethality.|A total of 119 active duty U.S. Army Soldiers who made a total of 175 suicide attempts during military service, 121 of which occurred during the preceding year, completed clinician-administered structured interviews focused on psychiatric diagnosis and the contextual characteristics of their suicide attempts.|Alcohol use during the 24 h prior to a suicide attempt was associated with significantly faster transition from suicidal impulse to action. Among suicide attempts in the past year, lethality significantly increased as the length of time since the last alcoholic drink increased. Drug use during the 24 h prior to a suicide attempt was unrelated to speed of transition or attempt lethality.|Soldiers acted upon their suicidal impulses more quickly when they had been drinking on the day of their suicide attempts. This rapid transition may contribute to the selection of less lethal suicide methods during periods of active drinking as compared to methods selected after the discontinuation of alcohol consumption.","%U https://www.ncbi.nlm.nih.gov/pubmed/27302719"
"X761","%D 2018","%B Depress Anxiety","%M 29748993","%A Bryan, C. J.","%T Use of crisis management interventions among suicidal patients: Results of a randomized controlled trial","%X Previous research supports the efficacy of the crisis response plan (CRP) for the reduction of suicidal behaviors as compared to treatment as usual (TAU). Patient perspectives and use of the CRP, and their relationship to later suicidal thoughts, remain unknown.|A secondary analysis of a randomized clinical trial comparing a standard CRP (S-CRP), a CRP enhanced with reasons for living (E-CRP), and TAU in a sample of 97 active-duty U.S. Army personnel was conducted. Participants were asked about their use, perceptions, and recall of each intervention. Generalized estimating equations were used to test the conditional effects of intervention use, perceptions, and recall on severity of suicide ideation during follow-up.|Across all treatment groups, over 80% of participants retained their written CRP up to 6 months later, but less than 25% had the written plan in their physical possession at the time of each assessment. Participants in S-CRP and E-CRP were more likely to recall self-management strategies and sources of social support. Participants in TAU were more likely to recall use of professional healthcare services and crisis management services. All three interventions were rated as highly useful. More frequent use of the E-CRP and recall of its components were associated with significantly reduced suicide ideation as compared to TAU.|Both CRPs have high acceptability ratings. The effect of both CRPs on reduced suicide ideation is associated with patient recall of components. More frequent use of the E-CRP is associated with larger reductions in suicide ideation.","%U https://www.ncbi.nlm.nih.gov/pubmed/29748993"
"X812","%D 2017","%B J Affect Disord","%M 28142085","%A Bryan, C. J.","%T Effect of crisis response planning vs. contracts for safety on suicide risk in U.S. Army Soldiers: A randomized clinical trial","%X To evaluate the effectiveness of crisis response planning for the prevention of suicide attempts.|Randomized clinical trial of active duty Army Soldiers (N=97) at Fort Carson, Colorado, presenting for an emergency behavioral health appointment. Participants were randomly assigned to receive a contract for safety, a standard crisis response plan, or an enhanced crisis response plan. Incidence of suicide attempts during follow-up was assessed with the Suicide Attempt Self-Injury Interview. Inclusion criteria were the presence of suicidal ideation during the past week and/or a lifetime history of suicide attempt. Exclusion criteria were the presence of a medical condition that precluded informed consent (e.g., active psychosis, mania). Survival curve analyses were used to determine efficacy on time to first suicide attempt. Longitudinal mixed effects models were used to determine efficacy on severity of suicide ideation and follow-up mental health care utilization.|From baseline to the 6-month follow-up, 3 participants receiving a crisis response plan (estimated proportion: 5%) and 5 participants receiving a contract for safety (estimated proportion: 19%) attempted suicide (log-rank Ï‡|Crisis response planning was more effective than a contract for safety in preventing suicide attempts, resolving suicide ideation, and reducing inpatient hospitalization among high-risk active duty Soldiers.","%U https://www.ncbi.nlm.nih.gov/pubmed/28142085"
"X868","%D 2017","%B Depress Anxiety","%M 28370897","%A Campbell-Sills, L.","%T Associations of childhood bullying victimization with lifetime suicidal behaviors among new U.S. Army soldiers","%X Prior studies have documented associations of childhood bullying victimization with suicidal behaviors. However, many failed to adjust for concomitant risk factors and none investigated this relationship in military personnel. This study aimed to estimate independent associations of childhood bullying victimization with suicidal behaviors among U.S. Army soldiers.|Soldiers reporting for basic training completed a cross-sectional survey assessing mental disorders, suicidal behaviors, and childhood adversities including two types of bullying victimization: (1) Physical Assault/Theft and (2) Bullying Comments/Behaviors. Associations of childhood bullying experiences with suicidal behaviors were estimated using discrete-time survival analysis of person-year data from 30,436 soldiers. Models adjusted for sociodemographic factors, childhood maltreatment by adults, and mental disorders.|After comprehensive adjustment for other risk factors, more frequent Physical Assault/Theft by peers during childhood was associated with increased odds of lifetime suicidal ideation (adjusted odds ratio [AOR] = 1.18, 95% CI: 1.11-1.26, P < .001) and attempt (AOR = 1.30, 95% CI: 1.13-1.50, P < .001). More frequent Bullying Comments/Behaviors were associated with increased risk of ideation (AOR = 1.30, 95% CI: 1.26-1.35, P < .001), plan (AOR = 1.44, 95% CI: 1.35-1.54, P < .001), attempt (AOR = 1.24, 95% CI: 1.15-1.33, P < .001), and onset of plan among ideators (AOR = 1.09, 95% CI: 1.03-1.15, P = .002). Relative to no bullying victimization, exposure to the most persistent bullying was associated with two- to fourfold increase in risk for suicidal behaviors.|Childhood bullying victimization is associated with lifetime suicidal behaviors among new soldiers. Exposure to Bullying Comments/Behaviors during childhood is associated with progression from suicidal ideation to plan. Improved recognition of these relationships may inform risk mitigation interventions for soldiers.","%U https://www.ncbi.nlm.nih.gov/pubmed/28370897"
"X996","%D 2019","%B Am J Prev Med","%M 30777160","%A Campbell-Sills, L.","%T Nicotine Dependence and Pre-Enlistment Suicidal Behavior Among U.S. Army Soldiers","%X Identification of modifiable risk factors for suicidal behaviors is a priority for the U.S. Army. This study investigated associations of nicotine dependence with suicidal behaviors among incoming soldiers.|Lifetime DSM-IV nicotine dependence, mental disorders, suicidal behaviors, and their ages of onset were retrospectively assessed in the Army Study to Assess Risk and Resilience in Servicemembers (Army STARRS) New Soldier Study. Discrete-time survival analysis of person-year data from 30,436 soldiers was performed to evaluate associations of nicotine dependence with subsequent suicidal ideation, plans, and attempts. Among respondents with lifetime ideation (n=4,060), models tested associations of nicotine dependence with progression from ideation to first onset of plan, from plan to first attempt, and, among ideators without plans, from ideation to first unplanned attempt. A hierarchy of models incorporated increasing controls for other risk factors. Data were collected in 2011-2012 and analyzed in 2017-2018.|In models controlling for sociodemographic characteristics, nicotine dependence was associated with onset of all suicidal behaviors (AORs, 2.07-4.08, p<0.001) and with each type of progression of suicidal behavior (AORs, 1.48-2.44, p<0.005). After adjusting for childhood adversities and mental disorders, nicotine dependence remained associated with onset of ideation (AOR=1.27, 95% CI=1.10, 1.46, p=0.001) and attempt (AOR=1.83, 95% CI=1.41, 2.37, p<0.001); and with progression from ideation to unplanned attempt (AOR=2.03, 95% CI=1.17, 1.74, p<0.001).|Nicotine dependence exhibited associations with onset of suicidal ideation and suicide attempt-and with progression from ideation to unplanned attempt-that were independent of other measured risk factors. Awareness of associations of nicotine dependence with suicidal behaviors may inform risk assessment, facilitate targeting of prevention efforts, and provide further impetus for reducing nicotine dependence.","%U https://www.ncbi.nlm.nih.gov/pubmed/30777160"
"X1106","%D 2023","%B Psychol Med","%M 36876647","%A Campbell-Sills, L.","%T Associations of polygenic risk scores with posttraumatic stress symptom trajectories following combat deployment","%X Identification of genetic risk factors may inform the prevention and treatment of posttraumatic stress disorder (PTSD). This study evaluates the associations of polygenic risk scores (PRS) with patterns of posttraumatic stress symptoms following combat deployment.|US Army soldiers of European ancestry (|Participants were classified into low-severity (77.2%), increasing-severity (10.5%), decreasing-severity (8.0%), and high-severity (4.3%) posttraumatic stress symptom trajectories. Standardized PTSD-PRS and MDD-PRS were associated with greater odds of membership in the high-severity|Higher polygenic risk for PTSD or MDD is associated with more severe posttraumatic stress symptom trajectories following combat deployment. PRS may help stratify at-risk individuals, enabling more precise targeting of treatment and prevention programs.","%U https://www.ncbi.nlm.nih.gov/pubmed/36876647"
"X1229","%D 2020","%B J Head Trauma Rehabil","%M 31306300","%A Campbell-Sills, L.","%T Associations of Lifetime Traumatic Brain Injury Characteristics With Prospective Suicide Attempt Among Deployed US Army Soldiers","%X To estimate associations of lifetime traumatic brain injury (TBI) characteristics with prospective suicide attempt among US Army soldiers.|The Army STARRS (Study to Assess Risk and Resilience in Servicemembers) Pre/Post Deployment Study surveyed 3 Brigade Combat Teams that were deployed to Afghanistan in 2012. Lifetime TBI and past-month postconcussive/post-TBI symptoms were evaluated at predeployment baseline. Recency and number of TBIs were quantified, and TBI severity was classified on the basis of reports of alteration/loss of consciousness and memory lapse. Suicide attempt data came from administrative records and surveys administered after return from deployment. Logistic regression models estimated associations of TBI characteristics with prospective suicide attempt among baseline respondents who were deployed (n = 7677), adjusting for other risk factors including lifetime mental disorder.|One hundred three soldiers made a suicide attempt over a median follow-up period of 30 months (weighted prevalence = 1.31% [0.14%]). In the final model estimating joint associations of TBI severity/recency and past-month postconcussive/post-TBI symptoms, only postconcussive/post-TBI symptoms were associated with a higher risk of suicide attempt (per standard score increase: AOR [adjusted odds ratio] = 1.31; 95% CI, 1.05-1.63; P = .012).|Among the lifetime TBI characteristics evaluated at predeployment baseline, only past-month postconcussive/post-TBI symptoms were prospectively associated with an increased risk of suicide attempt following deployment. Detection of postconcussive/post-TBI symptoms could facilitate targeting of Army suicide prevention programs.","%U https://www.ncbi.nlm.nih.gov/pubmed/31306300"
"X1331","%D 2023","%B JAMA Netw Open","%M 36692883","%A Campbell-Sills, L.","%T Exposure to Bullying or Hazing During Deployment and Mental Health Outcomes Among US Army Soldiers","%X Workplace bullying is associated with mental disorders and suicidality in civilians, but few studies have examined associations of bullying with these outcomes among military personnel.|To evaluate associations of being bullied or hazed during deployment with major depressive disorder (MDD), intermittent explosive disorder, posttraumatic stress disorder (PTSD), suicidal ideation, and substance use disorder (SUD).|This cohort study used data from the Army Study to Assess Risk and Resilience in Servicemembers (Army STARRS) New Soldier Study (NSS; April 1, 2011, to November 30, 2012) and wave 1 of the STARRS Longitudinal Study (STARRS-LS1; September 1, 2016, to April 30, 2018). A computerized survey administered at 3 US Army installations (NSS) and a web/telephone survey (STARRS-LS1) were used to collect data. Data were analyzed from October 11, 2021, to October 28, 2022. The STARRS-LS1 recruited a probability sample of active-duty soldiers and veterans who had participated in Army STARRS baseline surveys while on active duty (weighted response rate, 35.6%). Respondents whose baseline was the NSS and who had deployed to a combat theater at least once were eligible for this study.|Being bullied or hazed during a combat deployment.|The primary outcomes were MDD, intermittent explosive disorder, PTSD, and suicidal ideation in the 12 months before STARRS-LS1 and SUD in the 30 days before STARRS-LS1, assessed with items from the Composite International Diagnostic Interview Screening Scales, PTSD Checklist for Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, and Columbia-Suicide Severity Rating Scale. Logistic regression was used to estimate associations of bullying or hazing exposure with the outcomes.|The 1463 participants were predominantly male (weighted percentage [SE], 90.4% [0.9%]) and had a mean (SE) age of 21.1 (0.1) years at baseline. At STARRS-LS1, 188 respondents (weighted percentage [SE], 12.2% [1.1%]) reported bullying or hazing during deployment. Weighted outcome prevalences were 18.7% (1.3%) for MDD, 5.2% (0.9%) for intermittent explosive disorder, 21.8% (1.5%) for PTSD, 14.2% (1.2%) for suicidal ideation, and 8.7% (1.0%) for SUD. In models that adjusted for baseline sociodemographic and clinical characteristics and other potential traumas, exposure to bullying or hazing was significantly associated with MDD (adjusted odds ratio [aOR], 2.92; 95% CI, 1.74-4.88), intermittent explosive disorder (aOR, 2.59; 95% CI, 1.20-5.59), PTSD (aOR, 1.86; 95% CI, 1.23-2.83), suicidal ideation (aOR, 1.91; 95% CI, 1.17-3.13), and SUD (aOR, 2.06; 95% CI, 1.15-3.70).|In this cohort study of combat-deployed soldiers, reports of being bullied or hazed during deployment were associated with mental disorders and suicidal thoughts. Recognition of these associations may inform efforts to prevent and address mental health problems among service members.","%U https://www.ncbi.nlm.nih.gov/pubmed/36692883"
"X1373","%D 2011","%B Psychiatry","%M 21688957","%A Carr, R. B.","%T When a soldier commits suicide in Iraq: impact on unit and caregivers","%X There have been studies about the impact of a suicide on family members and friends, but none to date on a military unit in a combat zone. This is the first description, to my knowledge, of the effects of the suicide of a U.S. Army soldier deployed to Iraq. A narrative from the treating psychiatrist's perspective describes both the acute and longer-term (four months) effects of the suicide on members of the soldier's unit, other soldiers at the same base, members of the medical team who attempted to resuscitate him, and mental health care providers. This account describes how the suicide affected at least thirteen other soldiers on the base. The effects of the soldier's suicide showed a few similarities to those described in the literature, including stigmatization of the survivors and the stress experienced by the mental health providers. There were additional repercussions that have not been previously described, including the impact on the soldier's peers within his unit and other soldiers on the base, the need for medical evacuation from Iraq of soldiers following the event, and the reported stress on the medical staff due to the attempted resuscitation of someone known to them. Future research is needed to understand the impact of a suicide on the survivors in a deployed military setting and to establish best practices for postvention strategies.","%U https://www.ncbi.nlm.nih.gov/pubmed/21688957"
